Genero,Campesino,Estrato,NIvel_educacion,Discapacidad,Tipo_formacion,Victima_del_conflicto,Disponibilidad_Equipo,tiempo_segundos,Puntaje_eje_tematico_selecionado,linea_1_programacion,linea_2_inteligecia_artificial,linea_3_analisis_de_datos,linea_4_blockchain,linea_5_arquitectura_en_la_nube,area_1_alfabetizacion_datos,area_2_comunicacion_y_colaboracion,area_3_contenidos_digitales,area_4_seguridad,area_5_solucion_de_problemas,area_6_igles,Matriculado (SI o NO),Asistencia horas,Total_horas posibles,etnica_Indígena,"etnica_Negro, Mulato, Afrodescendiente, Afrocolombiano",etnica_Ningún grupo étnico,"etnica_Raizal del Archipiélago de San Andrés, Providencia y Santa Catalina",etnica_Rrom o gitano,linea_1_Explorador - Básico,linea_1_Innovador - Avanzado,linea_1_Integrador - Intermedio,linea_2_Explorador - Básico,linea_2_Innovador - Avanzado,linea_2_Integrador - Intermedio,linea_3_Explorador - Básico,linea_3_Innovador - Avanzado,linea_3_Integrador - Intermedio,linea_4_Explorador - Básico,linea_4_Innovador - Avanzado,linea_4_Integrador - Intermedio,linea_5_Explorador - Básico,linea_5_Innovador - Avanzado,linea_5_Integrador - Intermedio,eje_final_Análisis de Datos,eje_final_Arquitectura en la nube,eje_final_Blockchain,eje_final_Inteligencia artificial,eje_final_Programación,area_1_Explorador,area_1_Innovador,area_1_Integrador,area_2_Explorador,area_2_Innovador,area_2_Integrador,area_3_Explorador,area_3_Innovador,area_3_Integrador,area_4_Explorador,area_4_Innovador,area_4_Integrador,area_5_Explorador,area_5_Innovador,area_5_Integrador,eje_tematico_Blockchain,eje_tematico_Ciber seguridad y Blockchain,eje_tematico_Computación y arquitectura en la nube,eje_tematico_Datos,eje_tematico_Inteligencia artificial,eje_tematico_Programación,Programa_de_Formación_Análisis de datos,Programa_de_Formación_Arquitectura en la nube,Programa_de_Formación_Blockchain,Programa_de_Formación_Inteligencia artificial,Programa_de_Formación_Programación,Nivel_Avanzado,Nivel_Básico,Nivel_Intermedio,Cohorte_1,Cohorte_2,Cohorte_3,Cohorte_4,Cohorte_5,Cohorte_6,Cohorte_7,Cohorte_8,Cohorte_2_3,Cohorte_3_5,Cohorte_4_5,Cohorte_5_7,Cohorte_6_7,Cohorte_6_8,Tipo_de_formacion_Híbrida,Tipo_de_formacion_Virtual,estado_formado,dia,mes,year
,0,3,2,0,0,0,1,5818,81.4286,82.3214,81.4286,80.3571,77.8571,78.0357,86,92,102,82,86,34,SI,153,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17,12,2023
1.0,1,2,6,0,0,0,1,4271,85.625,88.3036,86.3393,85.625,84.5536,84.6429,92,95,107,93,94,28,SI,77,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,18,12,2023
1.0,0,3,6,0,0,0,1,6633,80.1786,81.4286,79.2857,80.1786,81.25,78.75,89,87,95,95,83,37,SI,48,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,16,12,2023
1.0,0,4,6,0,0,0,1,6852,81.25,81.25,80.625,81.25,80.625,78.9286,91,91,95,90,84,24,SI,159,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,12,2023
1.0,0,3,6,0,0,0,1,6887,85.5357,85.5357,83.3036,84.0179,83.4821,82.4107,93,91,102,94,89,34,SI,159,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,18,12,2023
0.0,0,3,6,0,0,1,1,7078,72.7679,80.7143,79.7321,81.5179,80.8036,72.7679,91,95,102,92,63,29,SI,159,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,17,12,2023
0.0,0,1,7,0,0,0,1,7074,75.7143,67.5,67.3214,75.7143,71.875,48.8393,94,94,101,82,0,20,SI,159,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,18,12,2023
1.0,0,2,6,0,1,0,1,6272,85.2679,85.2679,82.5,84.375,83.6607,81.1607,95,90,103,95,84,25,SI,54,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,18,12,2023
0.0,0,2,6,0,0,0,1,6937,80,80.7143,80,81.25,79.375,75.0893,91,93,100,87,73,28,SI,159,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,18,12,2023
1.0,0,2,4,0,0,0,1,6817,86.9643,86.9643,85.9821,84.4643,84.7321,84.6429,90,96,102,95,95,28,SI,159,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,17,12,2023
